Country,Country_Key,Origin,target_date,y_target,f_AR,f_GRE,Horizon,signal,e0,e1,cw
Libya,libya,2021-08-01,2021-11-01,19.454825547943603,9.622535709831482,7.5685821905896695,3,zgre,9.832289838112121,11.886243357353933,-40.39013263039179
Madagascar,madagascar,2021-08-01,2021-11-01,12.170902262776371,5.289017143636331,5.120916661193702,3,zgre,6.8818851191400405,7.049985601582669,-2.3136964172843832
Malawi,malawi,2021-08-01,2021-11-01,13.01950884339342,4.325027400977394,3.8905042091613535,3,zgre,8.694481442416025,9.129004634232066,-7.555907655087893
Mali,mali,2021-08-01,2021-11-01,8.291460642671725,7.1868016809562185,7.925692175992012,3,zgre,1.104658961715506,0.36576846667971274,1.6324440141353915
Mauritania,mauritania,2021-08-01,2021-11-01,7.540229974247953,5.325861674817652,5.295772100780589,3,zgre,2.2143682994303004,2.244457873467364,-0.1332587977820685
Mauritius,mauritius,2021-08-01,2021-11-01,13.835790261341218,4.8463566577826604,5.2758618859302375,3,zgre,8.989433603558558,8.55992837541098,7.722017461627843
Morocco,morocco,2021-08-01,2021-11-01,14.164902800307967,2.7340601298162666,0.8561859551382125,3,zgre,11.4308426704917,13.308716845169755,-42.93136849144861
Mozambique,mozambique,2021-08-01,2021-11-01,8.151997155687113,5.77482760664219,6.226276776457896,3,zgre,2.3771695490449227,1.925720379229217,2.146342438855012
Namibia,namibia,2021-08-01,2021-11-01,9.743445023389212,1.4088914337372378,1.6399935186656123,3,zgre,8.334553589651975,8.1034515047236,3.852265423031696
Niger,niger,2021-08-01,2021-11-01,13.629122723166804,8.54509737370685,8.970762055777952,3,zgre,5.084025349459953,4.658360667388852,4.328180068038581
Nigeria,nigeria,2021-08-01,2021-11-01,7.890376762817041,3.544438211377225,3.7517529097540185,3,zgre,4.345938551439817,4.138623853063023,1.8019538799116503
Rwanda,rwanda,2021-08-01,2021-11-01,22.03733209246244,8.598036943300976,8.187750953810209,3,zgre,13.439295149161463,13.84958113865223,-11.027909016664353
Sao Tome and Principe,saotomeandprincipe,2021-08-01,2021-11-01,11.66884467939482,10.633518404850822,11.047469257706549,3,zgre,1.0353262745439977,0.6213754216882705,0.8571483886628614
Senegal,senegal,2021-08-01,2021-11-01,14.381023946009758,8.290202188418144,8.282960550098869,3,zgre,6.090821757591614,6.09806339591089,-0.08821505647129868
Seychelles,seychelles,2021-08-01,2021-11-01,7.19466119508434,8.773745207014507,8.482364245156532,3,zgre,-1.579084011930167,-1.2877030500721922,0.9202300365015237
Sierra Leone,sierraleone,2021-08-01,2021-11-01,9.434931695739513,5.76454782655759,5.437440489338217,3,zgre,3.670383869181923,3.997491206401296,-2.4012189880420767
Somalia,somalia,2021-08-01,2021-11-01,3.369919006186368,2.166882980249615,2.2201035913643037,3,zgre,1.2030360259367532,1.1498154148220645,0.1280526249866809
